"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00027502","1901-09","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0",",6","8","3,6","0","3,6","0","3,6","","","","","0",",6","30",",6","0",",6","0",",6","0",",6","","","","","19010928","+,,6","","","","","","","19010909",",3,6","19010905",",,6","-5.0",",6,28,+","","","","","1.5","3,,6,09,","7.8",",6,05,","","","539.0",",6","5.8","3,,,6","","","","","","","","","0.37",",6","3.21",",,,6","-2.48",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1901-10","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","1,6","2","1,6","2","1,6","0","1,6","31",",","","","7",",6","31",",6","27","1,6","0","1,6","0","1,6","","","","","19011025",",,6","19011031","+,,6","","","","","19011001",",1,6","19011002",",1,6","-24.4",",6,25,","51",",,6,31,+","","","5.6","1,,6,01,","3.3","1,6,02,","","","814.0","1,6","10.7","1,,,6","","","","","","","","","-8.93","1,6","-4.83","1,,,6","-13.02",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1901-11","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0",",6","2",",6","0",",6","0",",6","30",",","","","27",",6","30",",6","30",",6","0",",6","0",",6","","","","","19011127",",,6","19011130","+,,6","","","","","19011112","+,,6","19011110","+,,6","-31.7",",6,27,","76",",,6,30,+","","","1.3",",,6,12,+","-9.4",",6,10,+","","","1186.8",",6","2.6",",,,6","","","","","","","","","-21.23",",6","-18.17",",,,6","-24.29",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1901-12","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","1,6","","","","","","","31",",6","","","29",",6","31",",6","30","1,6","0","1,6","0","1,6","","","","","19011203",",,6","19011231","+,,6","","","","","","","19011214",",1,6","-37.8",",6,03,","102",",,6,31,+","","","","","-10.0","1,6,14,","","","1274.6","1,6","","","","","","","","","","","-24.19","1,6","-21.05","1,,,6","-27.33",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-01","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","2,6","0","2,6","0","2,6","0","2,6","31",",6","0",",6","29","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","19020106","+,1,6","19020131","+,,6","19020128","+,,6","","","19020131","+,2,6","19020111",",1,6","-45.0","1,6,06,+","102",",,6,31,+","0",",T,6,28,+","0.0","2,,6,31,+","-2.2","1,6,11,","","","1419.4","1,6","0.0","2,,,6","","","","","","","0",",T,,6","-30.14","2,6","-26.67","1,,,6","-33.61","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-02","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","2","3,6","2","3,6","0","3,6","28",",6","2",",6","25",",6","28",",6","28",",6","0",",6","0",",6","","","","","19020204",",,6","19020225","+,,6","19020220","+,,6","","","19020220","+,3,6","19020213",",,6","-32.2",",6,04,","152",",,6,25,+","25",",,6,20,+","2.5","3,,6,20,+","-6.7",",6,13,","","","1112.1",",6","5.0","3,,,6","","","","","","","50",",,,6","-21.39",",6","-18.93",",,,6","-23.85",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-03","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","1,6","1",",6","0",",6","0",",6","29","2,6","0",",6","31",",6","31",",6","30","1,6","0","1,6","0","1,6","","","","","19020328",",,6","19020330","+,2,6","19020325",",,6","","","19020325",",,6","19020331","+,1,6","-38.9",",6,28,","127","2,,6,30,+","13",",,6,25,","0.3",",,6,25,","-18.9","1,6,31,+","","","1442.5","1,6","0.3",",,,6","","","","","","","13",",,,6","-29.66","1,6","-26.75","1,,,6","-32.58",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-04","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","3,6","0","2,6","0","2,6","0","2,6","30",",6","0",",6","24","1,6","29","1,6","28","2,6","0","2,6","0","2,6","","","","","19020412","+,1,6","19020427","+,,6","19020424","+,,6","","","19020430","+,2,6","19020422",",2,6","-29.4","1,6,12,+","102",",,6,27,+","0",",T,6,24,+","0.0","2,,6,30,+","-7.8","2,6,22,","","","1002.8","2,6","0.0","2,,,6","","","","","","","0",",T,,6","-18.70","3,6","-14.83","2,,,6","-22.57","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-05","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","2,6","0","4,6","0","4,6","0","4,6","24","1,6","0",",6","2","2,6","28","2,6","20",",6","0",",6","0",",6","","","","","19020501",",2,6","19020502","+,1,6","19020529","+,,6","","","19020531","+,4,6","19020507",",,6","-18.9","2,6,01,","76","1,,6,02,+","0",",T,6,29,+","0.0","4,,6,31,+","6.7",",6,07,","","","697.2",",6","0.0","4,,,6","","","","","","","0",",T,,6","-5.71","2,6","-2.22",",,,6","-9.19","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-06","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","7",",6","1",",6","0",",6","","","","","0",",6","13",",6","0",",6","0",",6","0",",6","3","","","","19020624","+,,6","","","","","","","19020620",",,6","19020628",",,6","-1.7",",6,24,+","","","","","6.1",",,6,20,","16.1",",6,28,","","","413.1",",6","11.8",",,,6","","","","","","","","","4.56",",6","8.11",",,,6","1.02",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-07","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","12",",6","7",",6","0",",6","","","","","0",",6","7",",6","0",",6","0",",6","0",",6","7","","","","19020706","+,,6","","","","","","","19020723","+,,6","19020720",",,6","-1.1",",6,06,+","","","","","6.4",",,6,23,+","16.7",",6,20,","434.7","6","434.7",",6","38.5",",,,6","","","","","","","","","4.31",",6","7.53",",,,6","1.09",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-08","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","2,6","5","2,6","2","2,6","0","2,6","","","","","0","1,6","12","1,6","0","1,6","0","1,6","0","1,6","2","","","","19020830",",1,6","","","","","","","19020818",",2,6","19020816",",1,6","-2.2","1,6,30,","","","","","7.6","2,,6,18,","14.4","1,6,16,","868.5","6","433.8","1,6","12.2","2,,,6","","","","","","","","","3.38","2,6","5.99","1,,,6","0.77","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-09","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","6",",6","2",",6","0",",6","","","","","0",",6","29",",6","6",",6","0",",6","0",",6","","","","","19020926",",,6","","","","","","","19020911",",,6","19020902","+,,6","-4.4",",6,26,","","","","","3.8",",,6,11,","3.9",",6,02,+","1420.8","6","552.3",",6","9.7",",,,6","","","","","","","","","-0.08",",6","1.48",",,,6","-1.64",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-10","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","3,6","9",",6","4",",6","0",",6","13","5,6","2","1,6","0","2,6","29","2,6","20","1,6","0","1,6","0","1,6","","","","","19021027",",2,6","19021031","+,5,6","19021030",",1,6","","","19021013",",,6","19021011",",1,6","-15.0","2,6,27,","102","5,,6,31,+","51","1,,6,30,","19.1",",,6,13,","4.4","1,6,11,","2028.7","6","607.9","1,6","37.2",",,,6","","","","","","","123","1,,,6","-3.61","3,6","-1.28","1,,,6","-5.94","2,,,6","","","","","","","","","","","","","","","","","","","",""
